DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Dallas Pataska","217321","US","Midwest",802,145,6,7,87,339,35888,7719,2.59,"A 4.99",6033,1264,3877,69687
"Christopher Demeritt","41368","US","New Jersey",765,196,4,7,78,319,39861,12998,3.05,"A 4.99",6031,1921,5345,59921
"Steven Wilson3","260356","US","Midwest",791,108,8,8,110,364,37568,5419,2.83,"A 4.29",6029,1350,6022,87076
"Mike McKinney","29915","US","Illinois",1311,206,7,7,120,625,50641,7741,2.94,"A 2.52",6025,1494,7570,157144
"James Edens","77711","US","California Club",1532,222,6,7,103,663,62298,9014,3.38,"A 3.70",6008,1574,7909,157711
"Brandon Schmidt","42361","US","Midwest",1187,238,6,8,116,642,94330,22352,2.58,"P 2.79",5998,1474,10826,138065
"Taylor Meyn","63053","US","Virginias",377,144,4,3,118,260,23301,7072,2.01,"A 4.51",5994,1508,2771,44349
"James E Crawford","107203","US","Carolina",513,172,7,6,82,240,25597,4739,3.2,"A 2.44",5994,1215,2298,42160
"Ron Hagolin","40077","US","Texas",431,128,3,4,102,276,24296,9317,2.18,"A 4.60",5992,1618,2488,43832
"Christopher Bell","64259","US","Great Plains",962,216,7,7,108,451,35047,7687,3.62,"A 2.40",5990,1344,6620,104347
"Michael Cosey Jr","86127","US","Atlantic",1167,146,8,7,83,365,50397,6470,3.72,"A 3.65",5980,1583,4758,96643
"Jason Karlavige","33234","US","Pennsylvania",868,220,6,6,155,583,53215,11372,1.59,"A 3.43",5973,1361,8491,134375
"Sean A Johnson","31823","US","West",363,98,4,5,124,238,32878,9370,1.6,"A 4.99",5970,1427,3816,45081
"Rob Read","146468","GB","UK and I",266,31,8,7,117,115,20686,2324,2.45,"A 4.99",5968,1269,1125,31125
"Bryan Blackford","16904","US","Florida",1568,186,11,9,120,634,109575,9331,3.88,"P 2.46",5961,1411,8305,188567
"Tyler Seavey","128877","US","California Club",924,161,4,8,75,353,26224,4980,3.37,"A 2.55",5956,1346,3982,69141
"Jukka Savolainen","26607","FI","Finland",1105,412,4,5,125,722,73594,26214,1.85,"A 3.78",5951,1723,10056,138540
"Dylan Sharman","46789","AU","Australia/NZ",541,162,4,5,92,262,26024,9114,2.28,"A 2.65",5948,1935,2241,49753
"Derek Wood","17000","US","Great Plains",209,100,6,7,168,149,18471,7187,2.82,"A 3.47",5948,1941,1465,35056
"Greger Huttu","15250","FI","Finland",73,50,1,2,168,62,6434,4228,1.34,"A 4.99",5928,2555,474,12290
"Eugene Mozgunov","33320","RU","Central-Eastern Europe",1201,418,3,5,125,790,71191,22258,2.82,"A 4.17",5926,1648,9451,149782
"Ryan Doucette","143103","US","New England",2402,579,6,6,104,1276,113865,23511,2.74,"A 2.66",5911,1315,14178,249448
"Wes Weidman","15761","US","Great Plains",888,196,8,6,129,524,65333,14686,2.14,"A 3.54",5901,1240,8593,114749
"OJ Dompier","87513","US","Midwest",1393,396,4,4,86,793,70112,21485,1.64,"A 4.99",5900,1424,7859,120336
"Michael Vanosdol","107657","US","Mid-South",992,115,5,8,115,443,58850,8979,2.63,"A 4.99",5896,1330,8369,113939
"Teddy Gibala","104431","US","Pennsylvania",745,176,5,6,102,379,35711,8935,2.39,"A 3.70",5892,1478,5830,75660
"Mark Coombes","29838","AU","Australia/NZ",890,330,3,3,114,546,35492,13928,1.25,"A 4.30",5883,1195,216,101811
"Michael Abrams","71755","US","New York",602,82,9,9,117,238,50087,4825,2.89,"A 4.57",5882,1095,2647,70259
"Benjamin Burmeister","31871","DE","DE-AT-CH",736,126,7,9,118,326,55267,8921,3.86,"A 3.93",5878,1522,5012,86668
"Derek Crone","58808","US","Virginias",384,53,7,8,107,165,22004,3482,2.39,"A 3.27",5878,1483,2385,40924
"Joey Brown","30535","US","Texas",550,145,5,8,126,303,38677,13394,3.14,"A 4.52",5876,1659,4364,69361
"Harrison Widelitz","17027","US","New Jersey",677,156,6,6,130,390,38580,7585,1.95,"A 4.99",5876,1845,5014,87928
"Satoru Ohno","48613","JP","Asia",1280,280,5,6,94,620,69713,14741,2.94,"A 4.49",5876,1885,7615,119993
"Glenn Murphy Jr","195265","US","Great Plains",379,32,7,9,119,145,21283,1900,2.76,"A 4.38",5871,1291,2803,44966
"Carson McClelland","44649","US","Carolina",628,63,9,10,123,246,49282,5286,3.25,"A 4.85",5870,1536,4377,77401
"Jeremy Capron","150541","US","Midwest",448,87,5,5,89,201,14851,2825,2.4,"A 4.82",5865,1237,1854,40052
"Kris Marlow","80092","US","Northwest",1096,253,4,5,83,507,55443,15364,1.65,"A 4.58",5854,1290,4480,90505
"Cory Wentzel","71021","US","Pennsylvania",3361,279,10,8,80,1016,126625,8351,2.27,"A 4.15",5852,1246,13815,269754
"Justin Norwood","23734","US","Carolina",486,139,4,5,89,240,20637,5943,2.65,"A 4.99",5846,1828,2156,43284
"Ryan Field","16841","US","New England",247,136,3,3,132,188,13747,7411,1.67,"A 4.28",5846,1723,2114,32645
"Adam Gilliland","32765","US","Texas",3237,679,7,8,108,1484,173709,39276,4.05,"P 2.35",5840,1503,18528,348423
