DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Geordie Pugh","17085","AU","Australia/NZ",206,22,4,5,85,77,3845,491,2.72,"A 3.25",2829,1764,618,17427
"Thomas Pigne","198366","FR","France",87,6,6,6,65,18,1280,72,4.73,"A 3.16",2829,1414,339,5627
"Ruben Denker","144677","DE","DE-AT-CH",794,60,9,9,64,245,13808,1279,6.2,"A 1.97",2829,1632,4037,50988
"Rodrigo Capeleto Ferreira","184493","BR","Brazil",673,23,9,10,53,134,10066,325,5.07,"A 2.67",2829,1334,2345,35719
"Darío Pastorino","25705","AR","Hispanoamérica",279,15,4,6,65,69,4924,313,4.64,"A 2.60",2829,1762,811,18208
"Niklas Tingvall","105733","SE","Scandinavia",85,17,6,6,71,33,1371,227,5.88,"A 2.31",2829,1978,218,6000
"Hannu Tuomainen","15184","FI","Finland",55,8,9,6,80,23,1028,113,3.27,"A 4.09",2829,1482,288,4415
"Andrei Nicolaescu","73500","RU","Central-Eastern Europe",96,12,4,6,73,40,1332,244,4.93,"C 3.67",2829,1350,90,7055
"Brodie Kostecki","38948","US","Australia/NZ",205,54,9,8,38,67,1950,879,5.38,"B 2.77",2829,1600,233,7844
"Stefan Waldherr","111737","DE","DE-AT-CH",403,14,10,8,68,94,8600,252,5.48,"A 2.43",2829,1319,1922,27602
"Matt Anderson","70562","AU","Australia/NZ",272,28,7,7,67,82,5554,531,5.5,"B 3.65",2828,1918,948,18305
"Greg Daniels","202250","DE","DE-AT-CH",129,5,11,9,72,32,2795,107,4.31,"A 3.12",2828,1272,700,9300
"Scott Gridley","43403","US","Michigan",424,183,3,4,49,97,6572,521,2.85,"A 2.19",2828,1820,1204,20913
"Mikael Engberg","135741","SE","Scandinavia",482,11,8,8,63,90,8922,302,4.73,"A 4.21",2828,1339,1366,30199
"Tero Dahlberg","15661","FI","Finland",98,13,9,9,81,37,1953,73,5.9,"A 3.66",2828,2350,632,7958
"Benjamin Koehler","238568","DE","DE-AT-CH",107,18,7,10,67,41,1788,468,6.93,"A 2.20",2827,1355,778,7209
"Anthony Marzocca","108274","AU","Australia/NZ",1062,57,9,9,65,309,17359,1054,6.63,"B 2.19",2827,1525,5136,69545
"Luis Mercado","77005","US","Florida",366,25,7,8,58,89,6224,456,5.39,"A 3.86",2827,1361,900,21390
"Jean Bapt Charles","45702","FR","France",205,34,6,5,68,62,3195,265,4.49,"B 4.99",2827,1324,662,14003
"Jonathan Lemay","53478","US","New England",77,12,6,5,73,20,1556,104,5.21,"A 3.35",2827,1444,94,5629
"Matt Thomson","91043","AU","Australia/NZ",116,23,6,7,76,44,2406,508,8.21,"B 1.33",2827,1314,567,8765
"Hani Alsabti","235001","NL","Benelux",25,11,3,5,106,19,335,150,4.28,"B 2.75",2826,1361,213,2648
"Jay Boving","17088","AU","Australia/NZ",80,7,7,6,73,28,1497,153,3.88,"A 4.24",2826,1833,426,5860
"Vladimir Piwko","90106","FR","France",80,18,4,5,72,41,1271,310,6.13,"B 2.82",2826,1431,370,5746
"Gilberto Colombo","161944","FR","France",50,13,4,8,82,29,1044,314,4.38,"A 4.05",2826,1330,442,4260
"Jesse Juhani Bruce","100054","FI","Finland",132,38,6,7,71,66,1839,671,4.81,"B 3.88",2826,1427,255,9991
"Forza De Spriet","69230","BE","Benelux",317,77,4,6,73,126,5953,1037,6.37,"B 3.57",2826,2033,783,23095
"Marcin Martyna","112346","GB","UK and I",235,16,8,9,60,62,3734,281,7.46,"B 2.53",2825,1484,924,14165
"Dany Ramírez","209048","ES","Iberia",305,5,10,10,66,59,5170,148,5.05,"A 3.79",2825,1350,1297,20177
"Bruno M Costa","236843","PT","Iberia",284,2,10,9,62,55,5071,35,6.87,"A 1.18",2824,1331,1040,17673
"Henri Vierumäki","23345","FI","Finland",438,24,8,7,77,103,9678,562,5.42,"A 2.23",2824,1653,1633,33913
"Miroslav Simek","47734","CZ","Central-Eastern Europe",135,11,6,5,68,29,2277,78,3.92,"A 4.47",2824,1350,293,9247
"David Warner","18666","US","Northwest",337,16,6,6,56,42,7749,411,3.08,"A 4.99",2824,1260,705,19001
"Josh Hollingsworth","159272","US","Great Plains",102,18,7,6,73,40,1763,113,4.14,"A 2.33",2823,1350,335,7450
"Lluís-Pere de las Heras","164696","ES","Iberia",309,11,11,11,79,66,5596,146,6.14,"B 3.91",2823,1282,1333,24438
"Martin Weare","47923","AU","Australia/NZ",641,25,7,8,72,155,13066,610,3.87,"A 3.34",2823,1644,2591,45838
"Anton De Pasquale","83044","AU","Australia/NZ",340,149,3,6,66,178,5222,3401,5.81,"B 2.41",2823,1327,1033,22278
"Mateo Diaz","82241","CA","Canada",75,17,4,4,77,30,1495,189,5.49,"D 3.46",2823,1336,36,5803
"Jason McDonald","105604","AU","Australia/NZ",90,20,3,6,65,45,1318,330,4.64,"C 4.21",2823,2123,459,5877
"Paul Walmsley","184099","GB","UK and I",241,14,9,9,58,57,4691,177,6.76,"A 4.99",2822,1281,913,13950
"Pierre-Yves Mona","40007","MQ","France",93,8,7,6,76,23,1654,93,3.87,"B 4.35",2822,1600,226,7053
"Damian Le Dan","104429","AU","Australia/NZ",116,12,4,6,74,43,1707,266,5.51,"B 2.16",2822,1329,476,8561
"Teemu Lilleberg","157960","FI","Finland",299,28,9,9,59,77,4522,389,6.29,"A 2.14",2822,1841,1061,17664
"Jon Greenberger","28651","US","Great Plains",86,3,4,5,70,25,1531,95,4.58,"D 3.69",2821,1322,42,6019
"Can-Phillip Thomaszik","140249","DE","DE-AT-CH",129,7,9,9,69,26,2390,132,5.61,"A 4.68",2821,1325,680,8847
"Nathan Dowd","129718","US","Midwest",97,11,6,7,72,41,1681,172,5.72,"A 2.39",2821,1294,506,7003
"Erich Smith","33761","US","Mid-South",583,65,6,8,64,172,11188,1356,4.8,"A 2.77",2821,1668,1768,37173
"Phil Mulligan","55440","GB","UK and I",321,30,6,6,63,63,4954,543,6.52,"C 3.08",2821,1300,612,20265
"Joe Peak","56767","US","West",749,56,6,6,77,201,14537,606,3.01,"A 4.99",2821,1457,2529,57496
"Leo Graae","104485","AU","Australia/NZ",486,78,4,6,67,184,7652,1289,4.49,"B 2.52",2821,1500,2253,32584
"Kostas Zafiris","25397","GR","International Club",337,46,4,7,84,115,8813,1577,5.53,"A 4.05",2820,2152,1567,28345
"Bernd Breu","81740","DE","DE-AT-CH",371,13,8,9,70,82,7508,262,4.18,"A 3.52",2820,1261,1494,26153
"Angelo De Cillis","171979","IT","Italy",200,6,8,8,60,42,3525,42,4.02,"A 4.99",2820,1369,850,12039
"Jeffrey Aldi","30923","US","New England",430,40,5,6,73,124,9155,870,3.04,"A 4.52",2820,1735,1393,31362
"Tolga Agartir2","235008","DE","DE-AT-CH",177,13,11,10,72,49,2830,130,5.51,"A 2.32",2819,1262,842,12760
"Gordon Murdoch","237071","AU","Australia/NZ",90,18,5,7,63,34,1617,283,4.99,"A 4.59",2819,1930,557,5698
"Evan Allan","54002","US","Northwest",68,12,5,7,82,23,1394,81,3.49,"A 4.43",2819,1954,340,5544
"Connor Anton","95129","CA","Canada",105,14,5,5,57,29,1785,146,3.36,"A 2.67",2819,1175,120,6008
"Gustavo Cavalcanti","175210","BR","Brazil",359,8,11,10,68,76,8006,158,4.17,"A 4.20",2819,1316,1762,24279
"James Defeo","24478","US","Pennsylvania",109,4,6,6,61,23,1879,80,3.4,"A 4.59",2818,1415,526,6619
"Daniel Collins2","230988","IE","UK and I",80,6,5,6,68,28,1186,90,4.59,"A 2.39",2818,1624,348,5478
"Saso Prosen","45063","SI","Central-Eastern Europe",388,16,10,9,66,83,7865,183,5.88,"A 2.25",2818,1731,1357,25509
"Jose Luis Milara","191036","ES","Iberia",330,5,11,11,65,50,5790,76,4.82,"A 4.42",2818,1531,1287,21584
"Salavat A. Farukshin","137775","RU","Central-Eastern Europe",23,8,3,3,104,17,340,106,4.83,"D 3.27",2818,1350,0,2396
"Arthur Rougier","276111","GF","France",76,9,5,7,78,31,1053,201,5.12,"C 3.10",2818,1350,300,5891
"Antti Lämsä","222883","FI","Finland",27,10,2,3,94,17,308,110,2.85,"B 2.82",2817,1841,26,2538
"Esteban Palacio","24161","CA","Canada",135,19,6,5,70,47,2526,334,3.7,"A 2.25",2817,1355,479,9463
"Robert De-Souza","102607","GB","UK and I",901,57,9,8,53,179,16519,1439,5.33,"B 4.66",2817,1484,2136,47861
"Amir Fejzuli","136899","AT","DE-AT-CH",234,29,4,6,65,65,5259,244,7.14,"B 3.52",2817,1350,732,15326
"Paul Thornhill","17020","NZ","Australia/NZ",76,15,5,5,71,38,1217,302,2.96,"B 4.65",2816,1554,382,5412
"Mike A Thomas","273269","US","Virginias",26,11,2,3,93,20,311,154,5.58,"D 3.19",2816,1350,89,2430
"Morten Sterregaard-Feltsen","221993","DK","Scandinavia",41,5,5,6,78,17,1127,128,4.3,"A 4.99",2816,1356,422,3217
"Barbu Roberto","212449","RO","Central-Eastern Europe",470,9,11,11,60,74,8910,92,5.3,"B 3.59",2816,1350,1740,28013
"Nicolas Milesi","174601","FR","France",1409,112,6,8,58,319,22747,739,4.23,"A 2.24",2815,1499,4289,81667
"Tyler McFarlin","244354","US","Mid-South",192,48,4,5,64,56,2871,291,4.2,"B 1.47",2815,1348,346,12204
"Sami Wilenius","37559","FI","Finland",78,6,5,5,75,24,1262,94,2.76,"A 4.99",2814,1837,165,5839
"JC Tussey","118905","US","Mid-South",1135,25,11,8,49,186,16372,365,3.04,"A 3.42",2814,1203,3463,55072
"Toni Tebar","220555","ES","Iberia",222,6,8,9,67,54,2889,91,3.9,"A 3.58",2813,1592,922,14798
"Michael A Ryan","107490","US","Florida",70,15,5,6,68,22,1497,170,5.24,"A 3.90",2813,1350,217,4733
"Bill Kazantzas","109111","GR","International Club",92,19,6,6,63,30,1514,342,5.32,"A 3.03",2813,1354,350,5787
"Jarrett Lawson","43947","US","Illinois",595,52,7,7,59,138,10016,460,6.84,"A 2.15",2813,1381,1267,34835
"Fernando Rosales","81120","US","California Club",110,20,5,5,72,44,1438,230,6.9,"C 2.36",2813,1549,3,7905
"Jessyka Vox","38996","US","California Club",112,16,6,4,74,38,1871,286,3.79,"C 4.46",2813,1273,76,8329
"Mikael Kautto","22314","FI","Finland",307,59,4,5,65,100,3984,888,8.01,"D 2.83",2813,1348,663,19968
"Tomi Hannuksela","130346","FI","Finland",188,46,4,7,56,69,2641,850,5.81,"A 2.15",2813,1314,777,10579
"Franz Samm","236838","DE","DE-AT-CH",136,12,7,9,61,43,2413,205,6.15,"A 4.49",2812,1350,845,8322
"Damien Heslouis","201903","FR","France",115,6,7,7,61,30,2409,244,4.38,"B 4.99",2812,1350,683,6980
"Joseph Cardamone","183316","AU","Australia/NZ",211,29,5,6,57,46,4006,560,5.51,"A 4.04",2812,1691,640,11923
"Daniel Edmonds","259803","AU","Australia/NZ",174,12,6,6,61,58,2186,183,6.11,"C 3.40",2812,1350,525,10608
"Joan Guijarro Bataller","31815","ES","Iberia",329,14,6,6,72,61,5861,214,4.05,"B 2.96",2812,1564,899,23675
"T. Darrel Worthington","188208","CA","Canada",574,20,6,7,58,120,8938,246,3.37,"A 4.65",2812,1350,2082,33570
"Matthias Rudolph","120093","DE","DE-AT-CH",73,2,6,5,75,24,1122,51,4.45,"B 2.49",2812,1348,124,5482
"Vick Caudill","94086","US","Georgia",232,22,7,7,53,61,11245,2602,2.83,"A 4.99",2812,1067,931,12382
"Jesús Virlan","264827","ES","Iberia",91,5,8,8,78,19,1256,52,5.65,"B 3.29",2812,1388,361,7100
"Steven Inskip","188953","ZA","International Club",475,19,9,10,60,100,6915,312,5.07,"A 4.54",2811,1401,1841,28420
"Axel Dworak","58787","AT","DE-AT-CH",409,18,7,7,67,109,7991,505,5.64,"A 3.56",2811,1250,1803,27602
"Tristan Leon Döhne","145372","ZA","International Club",60,11,5,7,79,23,1168,192,6.86,"A 3.52",2811,1267,41,4718
"Marcos Mancho","228490","ES","Iberia",53,6,6,6,74,26,702,122,3.42,"C 3.42",2811,1244,17,3941
"Nick Esguerra","83360","US","California Club",248,36,5,6,52,95,3569,722,6.72,"B 3.50",2810,1512,836,12963
"Mark Huth","96172","US","Illinois",133,2,6,6,63,28,1948,39,3.27,"A 4.61",2810,1289,565,8433
"Mihael Vucinic","72505","HR","Central-Eastern Europe",548,163,3,4,72,200,8705,538,4.01,"B 2.29",2810,1924,1335,39545
"Anthony Harrison","56850","US","Ohio",174,21,6,7,68,54,3659,426,5.83,"A 3.59",2810,1700,768,11766
"Brent Davis","15116","US","Great Plains",43,4,6,7,85,11,1030,79,2.72,"A 4.88",2810,1803,208,3663
"Stacy Silverhead","288619","GB","UK and I",25,4,3,5,102,18,372,77,2.08,"A 3.73",2809,1850,298,2542
"Sam D Blacklock","246097","AU","Australia/NZ",48,12,5,7,77,26,1101,314,4.69,"A 3.66",2809,1280,349,3715
"Andrew Waite","87981","GB","UK and I",69,11,5,7,76,30,1608,325,6.12,"A 2.26",2809,1469,449,5219
"Sebastian Cremona","83831","UY","Hispanoamérica",461,23,9,9,59,109,7121,374,6.61,"A 2.25",2809,1727,1573,26972
"Esteban Gini","133791","AR","Hispanoamérica",174,25,8,10,57,65,2487,489,5.17,"B 3.45",2809,1445,1119,9988
"Joona Laurila","16862","GB","Scandinavia",25,15,3,3,98,19,404,271,4.64,"D 4.10",2808,1296,156,2455
"Zach Millett","58604","US","New York",75,12,6,4,72,36,1151,139,3.89,"A 3.46",2808,1339,143,5409
"Sandro Nocera","56440","BR","Brazil",71,15,6,6,64,24,1472,291,4.03,"A 3.71",2808,1614,282,4571
"Stefano Pellegrino","120906","IT","Italy",347,9,9,9,59,79,6958,123,6.98,"A 1.86",2808,1292,1512,20445
"Stefan Frei","53707","CH","DE-AT-CH",1046,117,7,8,56,298,16186,2292,6.36,"B 3.33",2807,1636,2736,59052
"Rudy de Pagter","37392","NL","Benelux",205,10,8,8,63,54,4767,255,5.25,"B 2.09",2807,1369,771,12859
"Andreas Jürgen Schrott","109532","DE","DE-AT-CH",91,18,8,5,73,28,1672,149,7.98,"C 2.94",2807,1350,180,6682
"Patrick Farrell3","88099","US","New York",166,15,6,6,67,55,2871,238,6.19,"B 3.56",2806,1357,688,11124
"Toshi Tanaka","181706","JP","Asia",1585,468,3,4,51,395,22486,893,4.69,"C 4.57",2806,1445,2586,81582
"Nikita Vavilin","238563","RU","Central-Eastern Europe",72,3,7,7,64,22,1119,23,2.79,"A 4.38",2805,1664,393,4629
"Nathan Cooke","162101","CA","Canada",52,6,3,5,81,27,671,85,4.77,"C 3.73",2805,1295,159,4216
"Kenton Koch","33556","US","California Club",150,29,6,6,67,57,2193,392,6.65,"B 2.13",2805,1220,219,10015
"Simon Carr","73949","GB","UK and I",265,9,9,8,55,37,5555,149,5.33,"A 4.62",2805,1280,653,14668
